---------------------------- PROCESS STARTED (19913) for package com.progetto.tesi ----------------------------
2022-12-01 09:09:28.681 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:28.812 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 2 Roll 357
2022-12-01 09:09:28.812 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:29.770 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 3 Roll 357
2022-12-01 09:09:29.770 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:29.775 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 2 Roll 357
2022-12-01 09:09:29.775 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:29.800 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 2 Pitch 3 Roll 357
2022-12-01 09:09:29.801 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:29.979 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 3 Roll 357
2022-12-01 09:09:29.979 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:30.358 19913-19913 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: false accharge: true
2022-12-01 09:09:30.525 19913-19913 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: true usbcharg: false accharge: true
2022-12-01 09:09:31.025 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 2 Roll 357
2022-12-01 09:09:31.025 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:31.050 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 3 Roll 357
2022-12-01 09:09:31.050 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:31.056 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 2 Roll 357
2022-12-01 09:09:31.056 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:36.767 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 3 Pitch 3 Roll 357
2022-12-01 09:09:36.767 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:36.772 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 2 Pitch 3 Roll 357
2022-12-01 09:09:36.772 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:36.827 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 1 Pitch 3 Roll 357
2022-12-01 09:09:36.828 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:36.848 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 1 Pitch 2 Roll 357
2022-12-01 09:09:36.848 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:36.919 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:36.919 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:42.765 19913-19913 System.out              com.progetto.tesi                    I  UsbChecker: ischarg: false usbcharg: false accharge: false
2022-12-01 09:09:44.601 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:44.601 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:44.631 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:44.631 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:44.707 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
2022-12-01 09:09:44.707 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:44.712 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:44.712 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:45.045 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 357
