---------------------------- PROCESS STARTED (21585) for package com.progetto.tesi ----------------------------
2022-11-29 11:14:14.301 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.307 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:14.307 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.311 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:14.311 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.352 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:14.352 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.357 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:14.357 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.362 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:14.362 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.383 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:14.383 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.387 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:14.387 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.403 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:14.403 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.438 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:14.438 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.443 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:14.443 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.574 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:14.574 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.579 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:14.579 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.680 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:14.680 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:14.685 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:14.685 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:15.109 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:15.109 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:15.113 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:15.113 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:15.431 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:15.431 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:15.436 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:15.436 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:15.569 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:15.569 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:15.582 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:15.582 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:16.308 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:16.308 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:16.313 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:16.313 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:16.414 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:16.414 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:16.421 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
